"Summary","Issue Type","Priority","Labels","Description"
"Explain empty Jira Issue dropdowns on the Timecard tab","Task","Medium","changelog","Files: `JavaScript.html` → `renderTimecardTable()`

When a calendar event's color doesn't match any allocation entry, or the matched project has no active issues, the Jira Issue dropdown renders with only ""— select —"" and no explanation. Users have no way to know whether the config is wrong or the project simply has no open issues.

Suggested fix: after populating each dropdown, check whether any options were added. If none, insert a disabled option like ""No issues found for [projectKey]"" or add a warning indicator to the row."
"Replace the Timecard polling loop with callback coordination","Task","Medium","changelog","Files: `JavaScript.html` → `loadTimecardEvents()` / `renderTimecardTable()`

The `setInterval` (300 ms × up to 20 tries) that waits for issue options to arrive is fragile. If both the calendar and issues calls are slow, the events table appears before the dropdowns are populated. Worse, if issues still haven't arrived after 20 attempts (6s), the loop gives up silently — dropdowns stay empty with no error shown to the user.

Suggested fix: use a shared state object; whichever of the two `google.script.run` calls returns second triggers dropdown population. Surface an error state if issue loading fails or times out."
"Improve the Allocation config table usability","Task","Medium","changelog","Files: `TabConfig.html`

The table has columns that require prior knowledge: Calendar Color # (e.g. Sage = 2, Flamingo = 4), Color Enum Name (the exact GAS constant name), and an unused Hours/Week column.

This is enough of a pain point that a developer-only debug tool (`Debug.js` → `validateImportCalendarEvents()`) exists specifically to trace color/project mismatches — a strong signal the mapping UI itself needs to be clearer for end users, not just diagnosable after the fact.

Suggested fix: add a small reference table or tooltip below the allocation table mapping color numbers to their names and enum values. Consider removing ""Hours/Week"" until it drives a feature."
"Prevent silent data loss when saving allocation rows","Task","Medium","changelog","Files: `JavaScript.html` → `saveAllocationTable()`

Rows missing a `projectKey` are silently filtered out before saving. If a user fills in a color and project name but forgets the key, that row disappears on save with no warning.

Suggested fix: validate before saving and show a status message listing which rows were dropped and why, or block save until required fields are filled."
"Add a way to review individual worklog entries on-screen","Task","Medium","changelog","Files: `TabWorklog.html`, `JavaScript.html`

The on-screen worklog detail table was removed in favor of the monthly pivot view. The only way to see individual worklog line items now is the CSV export — there's no way to spot-check data without downloading a file.

Suggested fix: add an optional expandable detail view (e.g. click a pivot cell to see the underlying entries for that project/month) or a toggle to show the raw list alongside the pivot."
"Add a ""Test Connection"" action to the Config tab","Task","Medium","changelog","Files: `TabConfig.html`, `JavaScript.html`, `Code.js`

There is no way to validate the Jira URL and API key until the user visits another tab and gets an error. Typos in the URL or an expired/invalid API key aren't caught at the point of entry.

Suggested fix: add a ""Test Connection"" button that calls a lightweight Jira endpoint (e.g. `/rest/api/3/myself`) and reports success/failure inline."
"Add a ""Clear"" button to the Timecard submit toolbar","Task","Low","changelog","Files: `TabTimecard.html`, `JavaScript.html`

After a successful ""Send to Jira,"" the dropdowns reset but the event table stays visible. There is no way to dismiss the table without clicking ""Import Events"" again (which re-fetches from the calendar).

Suggested fix: add a ""Clear"" button to `#tc-submit-toolbar` that hides `#tc-table` and `#tc-submit-toolbar` and resets `window.timecardEvents`."
"Persist collapsed group state on Assignments","Task","Low","changelog","Files: `JavaScript.html` → `renderAssignments()`

Collapsing project groups is reset every time ""Load Assignments"" is clicked, since the container is rebuilt from scratch. Users with many projects who prefer a curated view have to re-collapse groups on every reload.

Suggested fix: track collapsed project keys in a `Set` (or `localStorage`, similar to the density preference) and reapply after render."
"Apply the density toggle consistently across tabs","Task","Low","changelog","Files: `Stylesheet.html`, `JavaScript.html` → `setDensity()`

The Comfortable/Compact density toggle only affects the Assignments tab, even though Timecard and Worklog tables have similarly dense layouts.

Suggested fix: apply the `density-*` class at a shared container level (e.g. `body` or `main`) so the preference applies app-wide."
"Add accessible labels to icon-only buttons","Task","Low","changelog","Files: `JavaScript.html`, `TabTimecard.html`, `TabAssignments.html`

Buttons using emoji-only or icon-only content (✕ remove-row, ⏱ Schedule Calendar Events, 📥 Send to Jira) lack `aria-label`/`title` attributes for screen readers.

Suggested fix: add `aria-label` or `title` attributes describing the action in plain text."
